abax,Insecte,carn,"carabidé,carabe",S3j1
abeille,Insecte,suc,"apidé,hyménoptère",S3j1
abrasax,Insecte,suc,"géométridé,papillon",S3j1
abraxas,Insecte,suc,"géométridé,papillon",S3j1
acalla,Insecte,suc,"cryptorhynchidé,tordeus",S3j1
acalles,Insecte,herb,"curculionidé,charançon",S3j1
acalyptère,Insecte,sang,"tel drosophile,dacus",S3j1
acanthobdelle,Insecte,sang,"annélide,sangsue",S3j1
acanthocéphale,Insecte,ver,acoelomate,M1a1
acanthocine,Insecte,végé,"cérambycidé,longicorne",S3j1
acanthor,Insecte,ver,"larve acanthocéphale",M1a1
acaridé,Insecte,carn,"arthropode actinotriche",S3j1
acarien,Insecte,carn,"arthropode,arachnide",S3j1
acarus,Insecte,carn,"arthropode,arachnide",S3j1
acerentomon,Insecte,végé,"protoure primitif",S3j1
acherontia,Insecte,suc,"sphingidé,papillon",S3j1
achète,Insecte,sang,"annélide,sangsue",S3j1
acidalie,Insecte,suc,"géométridé,papillon",S3j1
acilius,Insecte,herb,dytiscidé,S3j1
acoele,Insecte,ver,plathelminthe,M1a1
acoelomate,Insecte,ver,plathelminthe,M1a1
acrididé,Insecte,végé,"orthoptère,tel criquet",S3j1
acridien,Insecte,végé,"orthoptère,tel criquet",S3j1
acrocine,Insecte,végé,"cérambycidé,longicorne",S3j1
acronycte,Insecte,suc,"noctuidé,papillon",S3j1
actias,Insecte,suc,"saturnidé,papillon",S3j1
actinédide,Insecte,sang,"arachnide,acarien",S3j1
actinotriche,Insecte,sang,"arachnide,acarien",S3j1
actinotroque,Insecte,ver,"larve phoronidien",M1a1
aculéate,Insecte,suc,"apidé,abeille,fourmi",S3j1
adèle,Insecte,suc,"tinéidé,papillon",S3j1
adelge,Insecte,sang,"chermésidé,puceron",S3j1
adéphage,Insecte,carn,"insecte carnivore",S3j1
adonis,Insecte,suc,"lycénidé,bélargus",S3j1
adoxus,Insecte,végé,chrysomélidé,S3j1
adraste,Insecte,végé,"élatéridé,taupin",S3j1
aède,Insecte,sang,"culicidé,moustique",S3j1
aegosome,Insecte,végé,"cérambycidé,longicorne",S3j1
aelie,Insecte,sang,"pentatomidé,punaise",S3j1
aelosome,Insecte,ver,"annélide oligochète",M1a1
