amphinome,Insecte,anné,"annélide,ver polychète"
amphinomidé,Insecte,anné,"tel amphinome,eurythoé"
aphrodite,Insecte,anné,"annélide,souris de mer"
ariciidé,Insecte,anné,tel annélide polychète
bilharzia,Insecte,anné,plathelminthe ver tréma
bilharzie,Insecte,anné,plathelminthe ver tréma
gyrocotyle,Insecte,anné,"plathelminthe,ver"
gyrodactyle,Insecte,anné,"plathelminthe,ver"
monostome,Insecte,anné,"plathelminthe,ver douve"
platode,Insecte,anné,"plathelminthe,ver plat"
polystome,Insecte,anné,"plathelminthe,ver"
tétraphyllide,Insecte,anné,"plathelminthe,cestode"
tétrarhynchide,Insecte,anné,"plathelminthe,cestode"
trématode,Insecte,anné,"plathelminthe,tel douve"
myriapode,Insecte,arac,tel mille-pattes
pantopode,Insecte,arac,arthopode marin
péripate,Insecte,arac,limaciforme
ptérygote,Insecte,arac,insecte av ailes
pterygotus,Insecte,arac,mérostome fossile
pychnogonide,Insecte,arac,arthopode marin
pycnogonide,Insecte,arac,arthropode marin
pycnogonon,Insecte,arac,"arthropode marin,-onide"
trachéate,Insecte,arac,tel mille-pattes
aglaspide,Insecte,arth,xiphosure fossile
agnostus,Insecte,arth,trilobite fossile
antennate,Insecte,arth,arthropode
arthropleura,Insecte,arth,arthropode
arthropode,Insecte,arth,animal invertébré
bronteus,Insecte,arth,trilobite
calymène,Insecte,arth,trilobite fossile
dalmanitina,Insecte,arth,trilobite fossile
ellipsocephallus,Insecte,arth,trilobite cambrien
gloméris,Insecte,arth,myriapode diplopode
harpes,Insecte,arth,trilobite
homalonotus,Insecte,arth,trilobite silurien
illaenus,Insecte,arth,trilobite fossile
lithobie,Insecte,arth,myriapode terrestre
marrellomorphe,Insecte,arth,arthropode fossile
mille-pattes,Insecte,arth,myriapode
mimétaster,Insecte,arth,arthropode fossile
naraoia,Insecte,arth,arthropode fossile
opisthoparia,Insecte,arth,trilobite
paradoxides,Insecte,arth,trilobite
phacopidé,Insecte,arth,trilobite
phacops,Insecte,arth,trilobite
proarthropode,Insecte,arth,arthropode fossile
pseudocrustacé,Insecte,arth,proarthropode
scolopendre,Insecte,arth,mille-pattes
scolopendrella,Insecte,arth,mille-pattes
scutigère,Insecte,arth,mille-pattes
tardigrade,Insecte,arth,arthropode microscopique
trilobitomorphe,Insecte,arth,trilobite
trinucleus,Insecte,arth,trilobite
abax,Insecte,carn,"carabidé,carabe"
acaridé,Insecte,carn,arthropode actinotriche
acarien,Insecte,carn,"arthropode,arachnide"
acarus,Insecte,carn,"arthropode,arachnide"
adéphage,Insecte,carn,insecte carnivore
aeschne,Insecte,carn,"agrionidé,libellule"
aeschnidé,Insecte,carn,"tel agrionidé,libellule"
agélène,Insecte,carn,"agélénidé,araignée"
agrion,Insecte,carn,"agrionidé,libellule petite"
agrionidé,Insecte,carn,"tel libellule,agrion"
amaurobius,Insecte,carn,"amaurobiidé,araignée"
amblypyge,Insecte,carn,tel proche araignée
